SectorCircuitKey,WinRatePct,CaseCount,RiskCellLabel
Energy|4th,28.6,7,HIGH
Energy|9th,35.0,40,HIGH
Energy|DC,63.6,11,MODERATE
Energy|10th,40.0,15,HIGH
Transportation|DC,91.0,11,LOW
Transportation|4th,75.0,8,LOW
Transportation|9th,58.0,24,MODERATE
Water|9th,50.0,6,MODERATE
Water|10th,33.3,3,HIGH
PublicLands|9th,40.0,50,HIGH
PublicLands|4th,85.7,7,LOW
PublicLands|10th,45.0,20,HIGH
Agriculture|9th,38.0,50,HIGH
Agriculture|10th,42.0,12,HIGH
Military|9th,60.0,10,MODERATE
Military|DC,72.0,25,MODERATE
