External_ID__c,Subject,Status,Account.External_ID__c,ServiceTerritory.External_ID__c,WorkType.External_ID__c,StartDate,EndDate,Duration,DurationType,Priority,Description
DEMO_WO_001,Sage-Grouse Lek and PHMA Survey - Carrie Placer Mine,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_002,2019-04-15T08:00:00.000Z,2019-04-18T17:00:00.000Z,480,Minutes,High,PRIORITY SLOT 1 - TIGHTEST SEASONAL WINDOW. Survey PHMA within T. 6 S. R. 5 W. Sec. 28. Document sage-grouse SUA boundary. Verify 3.1-mile lek buffer per Idaho ARMPA. Must complete by April 30. Bundled site access with DEMO_WO_004. Assigned: Colleen Trese. Close via mobile app at Jordan Creek trailhead.
DEMO_WO_002,Hydrology and Water Quality Assessment - Jordan Creek,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_001,2019-04-22T08:00:00.000Z,2019-04-25T17:00:00.000Z,480,Minutes,High,Assess Jordan Creek water temperature redband trout habitat and proposed water withdrawal points. Jordan Creek Category 4A impaired under CWA. Document baseline flow and 50-foot buffer design. Bundled with DEMO_WO_005. Assigned: Marcus Webb. CLOSURE TRIGGERS: IDWR Water Permit coordination task auto-created.
DEMO_WO_003,Geology Soils and Access Road Assessment,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_006,2019-05-06T08:00:00.000Z,2019-05-12T17:00:00.000Z,480,Minutes,Normal,Assess erosion along 1.7-mile two-track access road. Review cadastral survey boundary T. 6 S. R. 5 W. Sec. 28. Evaluate reclamation plan and bond amount. Assigned: Forrest Griggs. CLOSURE TRIGGERS: EPA NPDES NOI task auto-created.
DEMO_WO_004,Migratory Bird Nesting Survey - Spring Window,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_004,2019-04-10T06:00:00.000Z,2019-04-12T12:00:00.000Z,240,Minutes,High,Map nesting bird territories on 15-acre footprint and access road corridor. Must complete before April 14 (MBTA/ARMPA nesting season). Bundled site access with sage-grouse team. Assigned: Trevor Hanks.
DEMO_WO_005,Columbia Spotted Frog and Riparian Survey,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_003,2019-05-20T08:00:00.000Z,2019-05-28T17:00:00.000Z,480,Minutes,Normal,Riparian corridor survey along Jordan Creek. Columbia spotted frog habitat and steep-shoreline pond design review. Post-snow-off late May. Bundled with DEMO_WO_002 for shared riparian access. Assigned: Dana Ruiz.
DEMO_WO_006,Botanical Survey Site Visit 1 - Special Status Plants,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_007,2019-06-17T08:00:00.000Z,2019-06-20T17:00:00.000Z,360,Minutes,Normal,First required botanical site visit. 15-acre footprint and access corridor survey. Peak identification season. BLM Manual requires minimum two visits. Assigned: Priya Nambiar.
DEMO_WO_007,Botanical Survey Site Visit 2 - Seed Mix Reclamation Approval,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_007,2019-08-25T08:00:00.000Z,2019-08-28T17:00:00.000Z,360,Minutes,Normal,Second required botanical site visit. Final approval of reclamation seed mix for bond. Botanist written approval required before bond can be finalized. Assigned: Priya Nambiar.
DEMO_WO_008,Big Game Winter Range Assessment - Shoulder Season,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_005,2019-08-19T08:00:00.000Z,2019-08-22T17:00:00.000Z,360,Minutes,Normal,Mule deer crucial winter range overlap mapping T. 6 S. R. 5 W. Sec. 28. Shoulder season August-October required. Assigned: Trevor Hanks.
DEMO_WO_009,ICL Comment Response - Air Quality Mercury Dust Mitigation,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_001,2019-07-29T08:00:00.000Z,2019-08-15T17:00:00.000Z,240,Minutes,High,Plaintiff Intelligence flagged ICL as HIGH risk prior commenter. Add mercury particulate and fugitive dust mitigation analysis to EA Air Quality section. Response memo to ICL. Assigned: Kara Kirkpatrick-Kreitinger.
DEMO_WO_010,OSC Comment Response - ARMPA Lek Buffer Departure Rationale,Completed,DEMO_ACCT_001,DEMO_TERR_001,DEMO_WT_002,2019-07-29T08:00:00.000Z,2019-08-15T17:00:00.000Z,240,Minutes,High,OSC challenged lek buffer departure rationale. Generate response memo citing 2019 Idaho ARMPA ROD Section 4.3 Justifiable Departure. Incorporate into revised EA. Assigned: Kara Kirkpatrick-Kreitinger.
