External_ID__c,AppointmentNumber,ParentRecordId,Status,SchedStartTime,SchedEndTime,ActualStartTime,ActualEndTime,ServiceTerritory.External_ID__c,Duration,DurationType,Description
DEMO_SA_001,SA-2019-0001,DEMO_WO_001,Completed,2019-04-15T08:00:00.000Z,2019-04-18T17:00:00.000Z,2019-04-15T08:00:00.000Z,2019-04-18T16:30:00.000Z,DEMO_TERR_001,480,Minutes,Sage-grouse lek and PHMA survey T. 6 S. R. 5 W. Sec. 28. Gate open April 15-18. Colleen Trese closes work order from mobile app at Jordan Creek trailhead April 18.
DEMO_SA_002,SA-2019-0002,DEMO_WO_002,Completed,2019-04-22T08:00:00.000Z,2019-04-25T17:00:00.000Z,2019-04-22T08:00:00.000Z,2019-04-25T16:00:00.000Z,DEMO_TERR_001,480,Minutes,Hydrology and water quality assessment. Gate open April 22-25. Marcus Webb primary; Dana Ruiz secondary for pre-survey scouting.
DEMO_SA_003,SA-2019-0003,DEMO_WO_003,Completed,2019-05-06T08:00:00.000Z,2019-05-12T17:00:00.000Z,2019-05-06T08:00:00.000Z,2019-05-12T15:00:00.000Z,DEMO_TERR_001,480,Minutes,Geology soils and access road assessment. Gate open May 6-12. Spring mud conditions monitored. Forrest Griggs primary.
DEMO_SA_004,SA-2019-0004,DEMO_WO_004,Completed,2019-04-10T06:00:00.000Z,2019-04-12T12:00:00.000Z,2019-04-10T06:00:00.000Z,2019-04-12T11:30:00.000Z,DEMO_TERR_001,240,Minutes,Migratory bird nesting survey spring window. Early morning start for dawn chorus survey. Gate open April 10-12. Must complete by April 14. Trevor Hanks primary.
DEMO_SA_005,SA-2019-0005,DEMO_WO_005,Completed,2019-05-20T08:00:00.000Z,2019-05-28T17:00:00.000Z,2019-05-20T08:00:00.000Z,2019-05-28T16:00:00.000Z,DEMO_TERR_001,480,Minutes,Columbia spotted frog and riparian survey. Post-snow-off late May. Gate open May 20-28. Dana Ruiz primary.
DEMO_SA_006,SA-2019-0006,DEMO_WO_006,Completed,2019-06-17T08:00:00.000Z,2019-06-20T17:00:00.000Z,2019-06-17T08:00:00.000Z,2019-06-20T15:00:00.000Z,DEMO_TERR_001,360,Minutes,Botanical survey site visit 1. Gate open June 17-20. Priya Nambiar primary.
DEMO_SA_007,SA-2019-0007,DEMO_WO_007,Completed,2019-08-25T08:00:00.000Z,2019-08-28T17:00:00.000Z,2019-08-25T08:00:00.000Z,2019-08-28T15:30:00.000Z,DEMO_TERR_001,360,Minutes,Botanical survey site visit 2. Seed mix final approval. Gate open Aug 25-28. Priya Nambiar primary.
DEMO_SA_008,SA-2019-0008,DEMO_WO_008,Completed,2019-08-19T08:00:00.000Z,2019-08-22T17:00:00.000Z,2019-08-19T08:00:00.000Z,2019-08-22T16:00:00.000Z,DEMO_TERR_001,360,Minutes,Big game winter range assessment. Gate open Aug 19-22. Trevor Hanks primary.
DEMO_SA_009,SA-2019-0009,DEMO_WO_009,Completed,2019-07-29T08:00:00.000Z,2019-08-15T17:00:00.000Z,2019-07-29T08:00:00.000Z,2019-08-15T16:00:00.000Z,DEMO_TERR_001,240,Minutes,ICL comment response - office task. No gate access required. Kara Kirkpatrick-Kreitinger.
DEMO_SA_010,SA-2019-0010,DEMO_WO_010,Completed,2019-07-29T08:00:00.000Z,2019-08-15T17:00:00.000Z,2019-07-29T08:00:00.000Z,2019-08-15T16:00:00.000Z,DEMO_TERR_001,240,Minutes,OSC comment response - office task. No gate access required. Kara Kirkpatrick-Kreitinger.
